Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
XEL,XCEL ENERGY INC,EQUITY,Utilities,Equity,"13,516,458.13",0.76,"13,516,458.13","205,199.00",65.87,United States,NASDAQ,USD,1,USD,-
NWE,NORTHWESTERN CORP,EQUITY,Utilities,Equity,"13,514,873.06",0.76,"13,514,873.06","231,538.00",58.37,United States,NASDAQ,USD,1,USD,-
PCG,PG&E CORP,EQUITY,Utilities,Equity,"13,514,251.68",0.76,"13,514,251.68","816,078.00",16.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
LNT,ALLIANT ENERGY CORP,EQUITY,Utilities,Equity,"13,505,476.32",0.76,"13,505,476.32","256,563.00",52.64,United States,NASDAQ,USD,1,USD,-
KNTK,KINETIK HOLDINGS INC CLASS A,EQUITY,Energy,Equity,"13,403,765.10",0.75,"13,403,765.10","424,842.00",31.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVA,AVISTA CORP,EQUITY,Utilities,Equity,"13,393,927.56",0.75,"13,393,927.56","315,003.00",42.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
CNP,CENTERPOINT ENERGY INC,EQUITY,Utilities,Equity,"13,373,255.88",0.75,"13,373,255.88","470,227.00",28.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
WEC,WEC ENERGY GROUP INC,EQUITY,Utilities,Equity,"13,322,380.80",0.75,"13,322,380.80","149,120.00",89.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
DTE,DTE ENERGY,EQUITY,Utilities,Equity,"13,304,204.10",0.75,"13,304,204.10","122,169.00",108.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
ARTNA,ARTESIAN RESOURCES CORP CLASS A,EQUITY,Utilities,Equity,"13,302,451.80",0.75,"13,302,451.80","241,380.00",55.11,United States,NASDAQ,USD,1,USD,-
AEE,AMEREN CORP,EQUITY,Utilities,Equity,"13,300,921.60",0.75,"13,300,921.60","159,560.00",83.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
EVRG,EVERGY INC,EQUITY,Utilities,Equity,"13,288,953.76",0.74,"13,288,953.76","224,324.00",59.24,United States,NASDAQ,USD,1,USD,-
NRG,NRG ENERGY INC,EQUITY,Utilities,Equity,"13,288,639.00",0.74,"13,288,639.00","397,150.00",33.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
PPL,PPL CORP,EQUITY,Utilities,Equity,"13,276,881.64",0.74,"13,276,881.64","487,762.00",27.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
SJW,SJW GROUP,EQUITY,Utilities,Equity,"13,262,371.93",0.74,"13,262,371.93","176,291.00",75.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
YORW,YORK WATER,EQUITY,Utilities,Equity,"13,258,060.47",0.74,"13,258,060.47","307,683.00",43.09,United States,NASDAQ,USD,1,USD,-
NI,NISOURCE INC,EQUITY,Utilities,Equity,"13,196,083.68",0.74,"13,196,083.68","482,313.00",27.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALE,ALLETE INC,EQUITY,Utilities,Equity,"13,177,623.20",0.74,"13,177,623.20","214,340.00",61.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
GLDD,GREAT LAKES DREDGE AND DOCK CORP,EQUITY,Industrials,Equity,"13,136,566.95",0.74,"13,136,566.95","1,917,747.00",6.85,United States,NASDAQ,USD,1,USD,-
OGS,ONE GAS INC,EQUITY,Utilities,Equity,"13,133,630.84",0.74,"13,133,630.84","164,747.00",79.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
AGR,AVANGRID INC,EQUITY,Utilities,Equity,"13,115,271.30",0.73,"13,115,271.30","339,510.00",38.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMS,CMS ENERGY CORP,EQUITY,Utilities,Equity,"13,097,727.72",0.73,"13,097,727.72","222,978.00",58.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
AM,ANTERO MIDSTREAM CORP,EQUITY,Energy,Equity,"13,072,105.38",0.73,"13,072,105.38","1,234,382.00",10.59,United States,New York Stock Exchange Inc.,USD,1,USD,-
CWT,CALIFORNIA WATER SERVICE GROUP,EQUITY,Utilities,Equity,"13,036,039.38",0.73,"13,036,039.38","235,053.00",55.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
SRE,SEMPRA,EQUITY,Utilities,Equity,"13,025,413.62",0.73,"13,025,413.62","88,542.00",147.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
ES,EVERSOURCE ENERGY,EQUITY,Utilities,Equity,"13,020,874.92",0.73,"13,020,874.92","176,866.00",73.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
DUK,DUKE ENERGY CORP,EQUITY,Utilities,Equity,"12,981,891.56",0.73,"12,981,891.56","139,876.00",92.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
