Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Dime Community Bancshares Inc.,0.00%,Banks,US,"$104,748.35 ","3,753",DCOM
Eagle Bancorp Inc.,0.00%,Banks,US,"$115,610.22 ","3,400",EGBN
Eagle Bancorp Montana Inc.,0.00%,Banks,US,"$16,673.85 ",878,EBMT
Enterprise Financial Services Corp.,0.00%,Banks,US,"$214,870.67 ","3,709",EFSC
Equity Bancshares Inc.,0.00%,Banks,US,"$48,239.61 ","1,512",EQBK
Esquire Financial Holdings Inc.,0.00%,Banks,US,"$36,901.66 ",705,ESQ
ESSA Bancorp Inc.,0.00%,Banks,US,"$19,144.82 ",878,ESSA
Evans Bancorp Inc.,0.00%,Banks,US,"$23,384.13 ",559,EVBN
Farmers National Banc Corp.,0.00%,Banks,US,"$67,912.28 ","4,288",FMNB
FB Financial Corp.,0.00%,Banks,US,"$150,396.99 ","3,772",FBK
Fidelity D&D Bancorp Inc.,0.00%,Banks,US,"$26,036.05 ",444,FDBC
Financial Institutions Inc.,0.00%,Banks,US,"$36,369.70 ","1,536",FISI
Finward Bancorp,0.00%,Banks,US,"$13,813.16 ",346,FNWD
Finwise Bancorp,0.00%,Banks,US,"$7,686.28 ",671,FINW
First Bancorp Inc.,0.00%,Banks,US,"$35,630.36 ","1,065",FRBK
First Bancshares Inc.,0.00%,Banks,US,"$101,261.72 ","2,978",BFST
First Busey Corp.,0.00%,Banks,US,"$138,721.91 ","5,632",BUSE
First Business Financial Services Inc.,0.00%,Banks,US,"$27,204.28 ",700,FBIZ
First Commonwealth Financial Corp.,0.00%,Banks,US,"$180,824.17 ","10,694",FCF
First Community Bankshares Inc.,0.00%,Banks,US,"$45,519.57 ","1,435",FCBC
First Financial Bancorp,0.00%,Banks,US,"$265,516.08 ","9,467",FFBC
First Financial Northwest Inc.,0.00%,Banks,US,"$12,911.73 ",784,FFNW
First Foundation Inc.,0.00%,Banks,US,"$45,517.31 ","5,341",FFWM
First Guaranty Bancshares Inc.,0.00%,Banks,US,"$10,541.50 ",573,FGBI
First Internet Bancorp,0.00%,Banks,US,"$16,841.47 ",845,INBK
First Merchants Corp.,0.00%,Banks,US,"$245,802.52 ","6,217",FRME
First Mid Bancshares Inc.,0.00%,Banks,US,"$68,464.76 ","1,917",FMBH
First Northwest Bancorp,0.00%,Banks,US,"$14,067.60 ",841,FNWB
First of Long Island Corp.,0.00%,Banks,US,"$36,568.10 ","2,307",FLIC
First Republic Bank/CA,0.00%,Banks,US,"$93,879.56 ","19,741",FRC.VI
First Savings Financial Group Inc.,0.00%,Banks,US,"$10,602.19 ",524,FSFG
First Seacoast Bancorp Inc.,0.00%,Banks,US,$597.78 ,52,FSEA
First United Corp.,0.00%,Banks,US,"$13,054.78 ",644,FUNC
First Western Financial Inc.,0.00%,Banks,US,"$18,259.10 ",759,MYFW
Five Star Bancorp,0.00%,Banks,US,"$28,854.12 ","1,002",FSBC
Flushing Financial Corp.,0.00%,Banks,US,"$46,069.73 ","2,827",FFIC
FNCB Bancorp Inc.,0.00%,Banks,US,"$3,954.59 ",463,FNCB
FS Bancorp Inc.,0.00%,Banks,US,"$32,541.65 ",803,FSBW
Fulton Financial Corp.,0.00%,Banks,US,"$284,060.86 ","17,574",FULT
FVCBankcorp Inc.,0.00%,Banks,US,"$22,851.42 ","1,755",FVCB
Generations Bancorp NY Inc.,0.00%,Banks,US,"$2,750.41 ",229,GBNY
German American Bancorp Inc.,0.00%,Banks,US,"$112,716.05 ","2,862",GABC
Great Southern Bancorp Inc.,0.00%,Banks,US,"$71,168.08 ","1,032",GSBC
Greene County Bancorp Inc.,0.00%,Banks,US,"$19,962.95 ",717,GCBC
Hanmi Financial Corp.,0.00%,Banks,US,"$72,279.83 ","3,301",HAFC
HarborOne Bancorp Inc.,0.00%,Banks,US,"$68,775.79 ","4,722",HONE
Hawthorn Bancshares Inc.,0.00%,Banks,US,"$16,128.12 ",538,HWBK
HBT Financial Inc.,0.00%,Banks,US,"$45,819.09 ","1,917",HBT
Heartland Financial USA Inc.,0.00%,Banks,US,"$168,403.47 ","3,817",HTLF
Heritage Commerce Corp.,0.00%,Banks,US,"$67,196.03 ","5,835",HTBK
Hilltop Holdings Inc.,0.00%,Banks,US,"$200,068.90 ","4,760",HTH
HMN Financial Inc.,0.00%,Banks,US,"$14,392.62 ",586,HMNF
Home Bancorp Inc.,0.00%,Banks,US,"$29,836.47 ",703,HBCP
HomeStreet Inc.,0.00%,Banks,US,"$24,133.11 ","1,825",HMST
HomeTrust Bancshares Inc.,0.00%,Banks,US,"$51,969.93 ","1,838",HTBI
Hope Bancorp Inc.,0.00%,Banks,US,"$144,007.23 ","11,680",HOPE
IF Bancorp Inc.,0.00%,Banks,US,"$5,853.25 ",292,IROQ
Independent Bank Group Inc.,0.00%,Banks,US,"$180,746.26 ","3,667",IBTX
Investar Holding Corp.,0.00%,Banks,US,"$20,548.58 ","1,130",ISTR
John Marshall Bancorp Inc.,0.00%,Banks,US,"$29,161.51 ","1,181",JMSB
Kentucky First Federal Bancorp,0.00%,Banks,US,"$1,254.23 ",152,KFFB
Lake Shore Bancorp Inc.,0.00%,Banks,US,"$2,464.91 ",168,LSBK
Lakeland Bancorp Inc.,0.00%,Banks,US,"$123,223.33 ","6,342",LBAI
Lakeland Financial Corp.,0.00%,Banks,US,"$175,064.09 ","2,550",LKFN
LCNB Corp.,0.00%,Banks,US,"$23,727.14 ","1,145",LCNB
LINKBANCORP Inc.,0.00%,Banks,US,"$9,141.28 ","1,044",LNKB
Live Oak Bancshares Inc.,0.00%,Banks,US,"$112,757.61 ","3,532",LOB
Luther Burbank Corp.,0.00%,Banks,US,"$12,729.51 ","1,039",LBC
Macatawa Bank Corp.,0.00%,Banks,US,"$39,964.48 ","3,155",MCBC
MainStreet Bancshares Inc.,0.00%,Banks,US,"$23,344.99 ",802,MNSB
Malvern Bancorp Inc.,0.00%,Banks,US,"$19,016.30 ",964,MLVF
Mercantile Bank Corp.,0.00%,Banks,US,"$57,679.48 ","1,517",MBWM
Merchants Bancorp/IN,0.00%,Banks,US,"$46,560.20 ","1,481",FMAO
Meridian Corp.,0.00%,Banks,US,"$15,883.84 ","1,254",MRBK
Metrocity Bankshares Inc.,0.00%,Banks,US,"$42,145.31 ","1,903",MCBS
Metropolitan Bank Holding Corp.,0.00%,Banks,US,"$46,095.91 ","1,060",MCB
Mid Penn Bancorp Inc.,0.00%,Banks,US,"$39,101.79 ","1,276",MPB
Middlefield Banc Corp.,0.00%,Banks,US,"$27,875.50 ",757,MBCN
Midland States Bancorp Inc.,0.00%,Banks,US,"$56,709.74 ","2,093",MSBI
MidWestOne Financial Group Inc.,0.00%,Banks,US,"$28,557.30 ","1,018",MOFG
MVB Financial Corp.,0.00%,Banks,US,"$25,459.15 ","1,030",MVBF
National Bank Holdings Corp.,0.00%,Banks,US,"$170,393.92 ","3,955",NBHC
National Bankshares Inc.,0.00%,Banks,US,"$26,837.05 ",656,AMNB
NBT Bancorp Inc.,0.00%,Banks,US,"$187,943.75 ","4,303",NBTB
Nicolet Bankshares Inc.,0.00%,Banks,US,"$104,221.66 ","1,342",NIC
Northeast Bank,0.00%,Banks,US,"$35,134.68 ",704,NBN
Northeast Community Bancorp Inc.,0.00%,Banks,US,"$33,355.63 ","1,884",NECB
Northfield Bancorp Inc.,0.00%,Banks,US,"$61,586.81 ","4,362",NFBK
Northrim BanCorp Inc.,0.00%,Banks,US,"$28,225.93 ",603,NRIM
Northwest Bancshares Inc.,0.00%,Banks,US,"$211,165.21 ","13,333",NWBI
Norwood Financial Corp.,0.00%,Banks,US,"$37,704.60 ","1,035",NWFL
NSTS Bancorp Inc.,0.00%,Banks,US,"$7,377.38 ",636,NSTS
OceanFirst Financial Corp.,0.00%,Banks,US,"$131,520.02 ","6,067",OCFC
OFG Bancorp,0.00%,Banks,PR,"$175,813.34 ","5,075",OFG
Old Point Financial Corp.,0.00%,Banks,US,"$11,939.36 ",408,OPOF
Old Second Bancorp Inc.,0.00%,Banks,US,"$77,614.38 ","4,661",OSBC
OP Bancorp,0.00%,Banks,US,"$17,930.05 ","1,456",OPBK
OptimumBank Holdings Inc.,0.00%,Banks,US,$677.16 ,167,OPHC
Orange County Bancorp Inc.,0.00%,Banks,US,"$17,979.75 ",365,OBT
Origin Bancorp Inc.,0.00%,Banks,US,"$123,962.44 ","3,109",OBNK
Orrstown Financial Services Inc.,0.00%,Banks,US,"$28,725.30 ","1,106",ORRF
PacWest Bancorp,0.00%,Banks,US,"$175,466.06 ","12,760",PACW
Park National Corp.,0.00%,Banks,US,"$225,321.59 ","1,535",PRK
Parke Bancorp Inc.,0.00%,Banks,US,"$24,291.35 ","1,043",PKBK
Partners Bancorp,0.00%,Banks,US,"$19,683.57 ","1,963",PTRS
Pathward Financial Inc.,0.00%,Banks,US,"$171,775.22 ","2,847",CASH
Patriot National Bancorp Inc.,0.00%,Banks,US,"$3,945.88 ",346,PNBK
PB Bankshares Inc.,0.00%,Banks,US,"$1,322.27 ",77,PBBK
PCB Bancorp,0.00%,Banks,US,"$26,614.92 ","1,421",PCB
Peapack-Gladstone Financial Corp.,0.00%,Banks,US,"$60,489.72 ","1,681",PGC
Penns Woods Bancorp Inc.,0.00%,Banks,US,"$20,480.59 ",649,PWOD
Peoples Bancorp of North Carolina Inc.,0.00%,Banks,US,"$22,340.88 ",587,PEBK
Peoples Financial Services Corp.,0.00%,Banks,US,"$33,405.70 ",611,PFIS
Plumas Bancorp,0.00%,Banks,US,"$29,880.85 ",576,PLBC
Ponce Financial Group Inc.,0.00%,Banks,US,"$21,401.68 ","2,115",PDLB
Premier Financial Corp.,0.00%,Banks,US,"$82,251.18 ","3,655",PFC
Primis Financial Corp.,0.00%,Banks,US,"$27,898.78 ","2,327",FRST
Provident Bancorp Inc.,0.00%,Banks,US,"$14,847.88 ","1,605",PVBC
Provident Financial Holdings Inc.,0.00%,Banks,US,"$11,269.29 ",610,PROV
Provident Financial Services Inc.,0.00%,Banks,US,"$180,060.81 ","7,603",PFS
QCR Holdings Inc.,0.00%,Banks,US,"$96,831.81 ","1,726",QCRH
RBB Bancorp,0.00%,Banks,US,"$24,995.20 ","1,483",RBB
Red River Bancshares Inc.,0.00%,Banks,US,"$27,135.53 ",435,RRBI
Renasant Corp.,0.00%,Banks,US,"$213,101.05 ","5,593",RNST
Republic First Bancorp Inc.,0.00%,Banks,US,"$6,672.10 ","4,004",FRBK
Riverview Bancorp Inc.,0.00%,Banks,US,"$13,531.10 ","1,949",RVSB
S&T Bancorp Inc.,0.00%,Banks,US,"$144,932.92 ","3,886",STBA
Salisbury Bancorp Inc.,0.00%,Banks,US,"$16,891.15 ",543,SAL
Sandy Spring Bancorp Inc.,0.00%,Banks,US,"$137,536.75 ","4,516",SASR
Seacoast Banking Corp. of Florida,0.00%,Banks,US,"$272,563.87 ","9,066",SBCF
Shore Bancshares Inc.,0.00%,Banks,US,"$31,266.64 ","1,738",SHBI
Sierra Bancorp,0.00%,Banks,US,"$29,842.14 ","1,344",BSRR
Silvergate Capital Corp.,0.00%,Banks,US,"$4,215.97 ","2,305",SICP
Simmons First National Corp.,0.00%,Banks,US,"$288,877.05 ","12,760",SFNC
SmartFinancial Inc.,0.00%,Banks,US,"$42,643.37 ","1,461",SMBK
Sound Financial Bancorp Inc.,0.00%,Banks,US,"$9,246.11 ",182,SFBC
South Plains Financial Inc.,0.00%,Banks,US,"$27,730.44 ",997,SPFI
Southern First Bancshares Inc.,0.00%,Banks,US,"$28,873.41 ",773,SFST
Southern Missouri Bancorp Inc.,0.00%,Banks,US,"$51,897.04 ","1,056",SMBC
Southern States Bancshares Inc.,0.00%,Banks,US,"$16,513.37 ",539,SSBK
Southside Bancshares Inc.,0.00%,Banks,US,"$133,597.25 ","3,108",SBSI
Stellar Bancorp Inc.,0.00%,Banks,US,"$144,483.62 ","4,649",STEL
Stock Yards Bancorp Inc.,0.00%,Banks,US,"$181,708.52 ","2,760",SYBT
Summit Financial Group Inc.,0.00%,Banks,US,"$27,323.93 ","1,038",SMMF
Summit State Bank,0.00%,Banks,US,"$12,679.25 ",619,SSBI
TC Bancshares Inc.,0.00%,Banks,US,"$9,918.69 ",516,TCBC
Territorial Bancorp Inc.,0.00%,Banks,US,"$17,491.89 ",771,TBNK
Texas Community Bancshares Inc.,0.00%,Banks,US,$359.15 ,25,TCBS
TFS Financial Corp.,0.00%,Banks,US,"$93,150.37 ","5,710",TFSL
Third Coast Bancshares Inc.,0.00%,Banks,US,"$23,635.73 ","1,251",TCBX
Tompkins Financial Corp.,0.00%,Banks,US,"$93,424.68 ","1,176",TMP
TriCo Bancshares,0.00%,Banks,US,"$150,306.38 ","3,098",TCBK
Triumph Financial Inc.,0.00%,Banks,US,"$156,679.23 ","2,226",TFIN
TrustCo Bank Corp. NY,0.00%,Banks,US,"$75,909.07 ","1,878",TRST
Trustmark Corp.,0.00%,Banks,US,"$184,647.85 ","5,705",TRMK
Unity Bancorp Inc.,0.00%,Banks,US,"$31,480.27 ","1,004",UNTY
Univest Financial Corp.,0.00%,Banks,US,"$78,388.01 ","2,876",UVSP
USCB Financial Holdings Inc.,0.00%,Banks,US,"$7,999.01 ",620,USCB
Veritex Holdings Inc.,0.00%,Banks,US,"$127,004.63 ","5,447",VBTX
Village Bank and Trust Financial Corp.,0.00%,Banks,US,"$1,310.87 ",19,VBFC
Washington Federal Inc.,0.00%,Banks,US,"$259,340.78 ","6,827",WAFD
Washington Trust Bancorp Inc.,0.00%,Banks,US,"$71,766.49 ","1,884",WASH
Waterstone Financial Inc.,0.00%,Banks,US,"$38,501.78 ","2,052",WSBF
WesBanco Inc.,0.00%,Banks,US,"$214,386.95 ","5,944",WSBC
West BanCorp Inc.,0.00%,Banks,US,"$32,971.62 ","1,412",EWBC
Westamerica BanCorp,0.00%,Banks,US,"$148,099.76 ","2,698",WABC
Western New England Bancorp Inc.,0.00%,Banks,US,"$21,663.07 ","2,362",WNEB
William Penn Bancorp,0.00%,Banks,US,"$15,220.36 ","1,084",WMPN
Regeneron Pharmaceuticals Inc.,0.20%,Biotechnology,US,"$11,754,253.91 ","10,820",REGN
Moderna Inc.,0.11%,Biotechnology,US,"$6,228,641.50 ","34,595",MRNA
Illumina Inc.,0.08%,Biotechnology,US,"$4,661,123.64 ","16,736",ILMN
Alnylam Pharmaceuticals Inc.,0.06%,Biotechnology,US,"$3,550,550.41 ","13,156",ALNY
Incyte Corp.,0.03%,Biotechnology,US,"$2,025,584.82 ","20,092",INCY
Charles River Laboratories International Inc.,0.02%,Biotechnology,US,"$1,392,136.01 ","5,405",CRL
Neurocrine Biosciences Inc.,0.02%,Biotechnology,US,"$1,399,460.64 ","10,223",NBIX
Novocure Ltd.,0.02%,Biotechnology,JE,"$997,760.78 ","11,175",038.F
ACADIA Pharmaceuticals Inc.,0.01%,Biotechnology,US,"$372,163.86 ","12,878",ACAD
Amicus Therapeutics Inc.,0.01%,Biotechnology,US,"$464,644.70 ","29,718",FOLD
Arrowhead Pharmaceuticals Inc.,0.01%,Biotechnology,US,"$526,087.71 ","10,966",ARWR
Axsome Therapeutics Inc.,0.01%,Biotechnology,US,"$357,769.67 ","3,692",AXSM
Beam Therapeutics Inc.,0.01%,Biotechnology,US,"$295,506.67 ","7,102",BEAM
Intellia Therapeutics Inc.,0.01%,Biotechnology,US,"$456,032.65 ","8,916",NTLA
Karuna Therapeutics Inc.,0.01%,Biotechnology,US,"$844,639.20 ","3,142",KRTX
Medpace Holdings Inc.,0.01%,Biotechnology,US,"$668,742.56 ","2,466",MEDP
Mirati Therapeutics Inc.,0.01%,Biotechnology,US,"$328,304.84 ","5,469",MRTX
Reata Pharmaceuticals Inc.,0.01%,Biotechnology,US,"$383,995.50 ","2,867",RETA
Revance Therapeutics Inc.,0.01%,Biotechnology,US,"$374,992.66 ","8,696",RVNC
REVOLUTION Medicines Inc.,0.01%,Biotechnology,US,"$335,383.29 ","10,538",RVMD
Sage Therapeutics Inc.,0.01%,Biotechnology,US,"$360,554.05 ","5,448",SAGE
TG Therapeutics Inc.,0.01%,Biotechnology,US,"$467,521.13 ","13,897",TGTX
Ultragenyx Pharmaceutical Inc.,0.01%,Biotechnology,US,"$421,353.51 ","7,122",RARE
Vaxcyte Inc.,0.01%,Biotechnology,US,"$504,140.83 ","8,688",PCVX
23andMe Holding Co.,0.00%,Biotechnology,US,"$77,340.70 ","28,977",ME
2seventy bio Inc.,0.00%,Biotechnology,US,"$63,377.18 ","4,919",TSVT
4D Molecular Therapeutics Inc.,0.00%,Biotechnology,US,"$78,138.30 ","3,202",FDMT
89bio Inc.,0.00%,Biotechnology,US,"$134,026.16 ","6,190",ETNB
9 Meters Biopharma Inc.,0.00%,Biotechnology,US,"$1,790.37 ","1,519",NMTR
Aadi Bioscience Inc.,0.00%,Biotechnology,US,"$15,979.30 ","1,520",AADI
Abeona Therapeutics Inc.,0.00%,Biotechnology,US,"$5,814.18 ","1,398",ABEO
Absci Corp.,0.00%,Biotechnology,US,"$8,858.53 ","4,953",ABSI
Acer Therapeutics Inc.,0.00%,Biotechnology,US,"$1,201.87 ","1,011",ACER
Achieve Life Sciences Inc.,0.00%,Biotechnology,US,"$9,624.72 ",853,ACHV
Aclaris Therapeutics Inc.,0.00%,Biotechnology,US,"$75,471.24 ","6,266",ACRS
Actinium Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$32,272.37 ","2,707",ATNM
Acumen Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$8,752.41 ","1,674",ABOS
Adaptive Biotechnologies Corp.,0.00%,Biotechnology,US,"$129,852.65 ","13,423",ADPT
ADMA Biologics Inc.,0.00%,Biotechnology,US,"$99,185.75 ","21,853",ADMA
Adverum Biotechnologies Inc.,0.00%,Biotechnology,US,"$9,634.50 ","9,071",ADVM
Aeglea BioTherapeutics Inc.,0.00%,Biotechnology,US,$998.72 ,"4,370",AGLE
Aerovate Therapeutics Inc.,0.00%,Biotechnology,US,"$27,732.62 ",976,AVTE
Agenus Inc.,0.00%,Biotechnology,US,"$61,962.59 ","30,287",AGEN
AgeX Therapeutics Inc.,0.00%,Biotechnology,US,"$1,141.47 ","1,453",AGE
AIM ImmunoTech Inc.,0.00%,Biotechnology,US,"$2,907.20 ","4,470",AIM
Akebia Therapeutics Inc.,0.00%,Biotechnology,US,"$17,071.52 ","13,869",AKBA
Akero Therapeutics Inc.,0.00%,Biotechnology,US,"$271,810.87 ","4,484",AKRO
Alector Inc.,0.00%,Biotechnology,US,"$62,283.34 ","6,965",ALEC
Allakos Inc.,0.00%,Biotechnology,US,"$35,605.89 ","6,184",ALLK
Allovir Inc.,0.00%,Biotechnology,US,"$20,215.79 ","4,338",ALVR
Alpha Teknova Inc.,0.00%,Biotechnology,US,"$2,748.45 ","1,073",TKNO
Alpine Immune Sciences Inc.,0.00%,Biotechnology,US,"$29,462.35 ","2,903",ALPN
Altimmune Inc.,0.00%,Biotechnology,US,"$37,725.32 ","5,514",ALT
ALX Oncology Holdings Inc.,0.00%,Biotechnology,US,"$14,948.56 ","1,857",ALXO
Amylyx Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$217,005.75 ","5,640",AMLX
AnaptysBio Inc.,0.00%,Biotechnology,US,"$55,214.53 ","1,957",ANAB
Anavex Life Sciences Corp.,0.00%,Biotechnology,US,"$85,208.81 ","7,726",AVXL
Angion Biomedica Corp.,0.00%,Biotechnology,US,"$1,810.42 ","1,759",ANGN
Anixa Biosciences Inc.,0.00%,Biotechnology,US,"$17,481.02 ","3,162",ANIX
Applied Molecular Transport Inc.,0.00%,Biotechnology,US,"$1,482.19 ","3,715",AMTI
Applied Therapeutics Inc.,0.00%,Biotechnology,US,"$4,211.33 ","1,828",APLT
Aprea Therapeutics Inc.,0.00%,Biotechnology,US,$91.94 ,17,APRE
Aravive Inc.,0.00%,Biotechnology,US,"$14,354.07 ","7,461",ARAV
Arcturus Therapeutics Holdings Inc.,0.00%,Biotechnology,US,"$88,133.36 ","2,444",ARCT
Arcutis Biotherapeutics Inc.,0.00%,Biotechnology,US,"$98,365.05 ","5,246",ARQT
Ardelyx Inc.,0.00%,Biotechnology,US,"$115,622.96 ","19,135",ARDX
Assembly Biosciences Inc.,0.00%,Biotechnology,US,"$6,614.88 ","4,695",ASMB
Athersys Inc.,0.00%,Biotechnology,US,"$1,063.27 ",922,ATHX
Athira Pharma Inc.,0.00%,Biotechnology,US,"$15,249.77 ","4,034",ATHA
Atossa Therapeutics Inc.,0.00%,Biotechnology,US,"$11,155.52 ","12,881",ATOS
Atreca Inc.,0.00%,Biotechnology,US,"$4,181.26 ","3,086",BCEL
aTyr Pharma Inc.,0.00%,Biotechnology,US,"$14,144.85 ","5,354",LIFE
Aura Biosciences Inc.,0.00%,Biotechnology,US,"$22,671.26 ","1,851",AURA
Avid Bioservices Inc.,0.00%,Biotechnology,US,"$162,171.02 ","6,631",CDMO
Avidity Biosciences Inc.,0.00%,Biotechnology,US,"$111,823.89 ","6,656",RNA
Avrobio Inc.,0.00%,Biotechnology,US,"$2,907.22 ","2,149",AVRO
Better Therapeutics Inc.,0.00%,Biotechnology,US,"$1,746.49 ","1,111",BTTX
Bio-Path Holdings Inc.,0.00%,Biotechnology,US,$788.39 ,413,BPTH
BioAtla Inc.,0.00%,Biotechnology,US,"$20,275.56 ","4,441",BCAB
BioCardia Inc.,0.00%,Biotechnology,US,"$4,478.74 ","1,559",BCDA
BioCryst Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$202,455.78 ","19,636",BCRX
Biomea Fusion Inc.,0.00%,Biotechnology,US,"$101,391.51 ","2,539",BMEA
Bioxcel Therapeutics Inc.,0.00%,Biotechnology,US,"$61,444.08 ","2,199",BTAI
Black Diamond Therapeutics Inc.,0.00%,Biotechnology,US,"$3,177.28 ","1,640",BDTX
Bluebird Bio Inc.,0.00%,Biotechnology,US,"$64,715.96 ","10,981",BLUE
Bolt Biotherapeutics Inc.,0.00%,Biotechnology,US,"$5,456.61 ","2,549",BOLT
Bridgebio Pharma Inc.,0.00%,Biotechnology,US,"$235,813.55 ","11,987",BBIO
C4 Therapeutics Inc.,0.00%,Biotechnology,US,"$17,349.82 ","4,240",CCCC
Cabaletta Bio Inc.,0.00%,Biotechnology,US,"$40,310.31 ","2,866",CABA
CalciMedica Inc.,0.00%,Biotechnology,US,$322.37 ,61,CALC
Candel Therapeutics Inc.,0.00%,Biotechnology,US,"$1,607.78 ",920,CADL
Cara Therapeutics Inc.,0.00%,Biotechnology,US,"$26,266.45 ","4,616",CARA
Cardiff Oncology Inc.,0.00%,Biotechnology,US,"$10,331.69 ","4,383",CRDF
Caribou Biosciences Inc.,0.00%,Biotechnology,US,"$29,385.06 ","5,044",CRBU
Cassava Sciences Inc.,0.00%,Biotechnology,US,"$132,088.22 ","4,199",SAVA
Catalyst Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$225,552.66 ","10,457",CPRX
Celcuity Inc.,0.00%,Biotechnology,US,"$26,106.24 ","1,876",CELC
Celldex Therapeutics Inc.,0.00%,Biotechnology,US,"$214,774.09 ","5,042",CLDX
Century Therapeutics Inc.,0.00%,Biotechnology,US,"$9,044.07 ","2,133",IPSC
Cerevel Therapeutics Holdings Inc.,0.00%,Biotechnology,US,"$260,007.59 ","6,608",CERE
Checkpoint Therapeutics Inc.,0.00%,Biotechnology,US,"$3,013.23 ",674,CKPT
Chimerix Inc.,0.00%,Biotechnology,US,"$15,557.56 ","9,899",CMRX
Citius Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$26,778.32 ","13,631",CTXR
Codexis Inc.,0.00%,Biotechnology,US,"$32,947.98 ","6,204",CDXS
Cogent Biosciences Inc.,0.00%,Biotechnology,US,"$100,668.45 ","6,905",COGT
Cognition Therapeutics Inc.,0.00%,Biotechnology,US,"$3,853.60 ","1,654",CGTX
Coherus Biosciences Inc.,0.00%,Biotechnology,US,"$76,726.51 ","7,833",CHRS
Context Therapeutics Inc.,0.00%,Biotechnology,US,"$1,538.39 ","1,954",CNTX
Corvus Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$4,257.65 ","2,910",CRVS
Crinetics Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$145,183.49 ","5,484",CRNX
CTI BioPharma Corp.,0.00%,Biotechnology,US,"$83,542.21 ","12,688",CTIC
Cue Biopharma Inc.,0.00%,Biotechnology,US,"$22,691.86 ","3,868",CUE
Cue Health Inc.,0.00%,Biotechnology,US,"$9,105.94 ","8,541",HLTH
Cullinan Oncology Inc.,0.00%,Biotechnology,US,"$41,450.14 ","3,144",CGEM
Cyclerion Therapeutics Inc.,0.00%,Biotechnology,US,"$1,450.72 ","3,880",CYCN
Cyteir Therapeutics Inc.,0.00%,Biotechnology,US,"$4,970.27 ","1,698",CYT
CytomX Therapeutics Inc.,0.00%,Biotechnology,US,"$16,425.52 ","7,438",CTMX
Dare Bioscience Inc.,0.00%,Biotechnology,US,"$10,967.84 ","8,095",DARE
Day One Biopharmaceuticals Inc.,0.00%,Biotechnology,US,"$84,812.30 ","5,048",DAWN
DICE Therapeutics Inc.,0.00%,Biotechnology,US,"$166,832.04 ","3,789",DICE
Dyadic International Inc.,0.00%,Biotechnology,US,"$5,287.61 ","2,033",DYAI
Dynavax Technologies Corp.,0.00%,Biotechnology,US,"$181,323.62 ","12,856",DVAX
Dyne Therapeutics Inc.,0.00%,Biotechnology,US,"$40,991.00 ","2,920",DYN
Edgewise Therapeutics Inc.,0.00%,Biotechnology,US,"$48,168.14 ","4,054",EWTX
Editas Medicine Inc.,0.00%,Biotechnology,US,"$84,246.74 ","7,620",EDIT
Elevation Oncology Inc.,0.00%,Biotechnology,US,"$3,225.04 ",905,ELEV
Eliem Therapeutics Inc.,0.00%,Biotechnology,US,"$2,742.35 ",647,ELYM
ENDRA Life Sciences Inc.,0.00%,Biotechnology,US,$172.39 ,80,NDRA
Enliven Therapeutics Inc.,0.00%,Biotechnology,US,"$8,132.83 ",315,ELVN
Enzo Biochem Inc.,0.00%,Biotechnology,US,"$12,160.91 ","3,548",ENZ
Equillium Inc.,0.00%,Biotechnology,US,"$1,639.59 ","1,946",EQ
Erasca Inc.,0.00%,Biotechnology,US,"$23,327.03 ","6,238",ERAS
Evelo Biosciences Inc.,0.00%,Biotechnology,US,"$1,485.03 ","7,127",EVLO
Evolus Inc.,0.00%,Biotechnology,US,"$44,479.80 ","3,756",EOLS
Eyenovia Inc.,0.00%,Biotechnology,US,"$15,178.73 ","2,106",EYEN
Foghorn Therapeutics Inc.,0.00%,Biotechnology,US,"$16,584.95 ","1,877",FHTX
Fortress Biotech Inc.,0.00%,Biotechnology,US,"$7,603.43 ","7,317",FBIO
Frequency Therapeutics Inc.,0.00%,Biotechnology,US,"$2,295.89 ","4,249",FREQ
Galectin Therapeutics Inc.,0.00%,Biotechnology,US,"$9,666.67 ","4,054",GALT
Gelesis Holdings Inc.,0.00%,Biotechnology,US,$26.28 ,970,GLSH
Genprex Inc.,0.00%,Biotechnology,US,"$4,259.69 ","3,844",GNPX
Geron Corp.,0.00%,Biotechnology,US,"$160,026.82 ","48,014",GERN
Geron Corp.,0.00%,Biotechnology,US,"$160,026.82 ","48,014",GERN
Geron Corp.,0.00%,Biotechnology,US,"$3,220.45 ","4,098",GERN
Geron Corp.,0.00%,Biotechnology,US,"$3,220.45 ","4,098",GERN
Ginkgo Bioworks Holdings Inc.,0.00%,Biotechnology,US,"$217,916.20 ","131,837",DNA
GlycoMimetics Inc.,0.00%,Biotechnology,US,"$10,220.58 ","5,388",GLYC
Graphite Bio Inc.,0.00%,Biotechnology,US,"$14,274.19 ","3,303",GRPH
