Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Federated Hermes Inc.,0.01%,Asset Managers and Custodians,US,"$499,713.03 ","8,911",FHI
Focus Financial Partners Inc.,0.01%,Asset Managers and Custodians,US,"$364,473.82 ","5,179",FOCS
Hamilton Lane Inc.,0.01%,Asset Managers and Custodians,US,"$337,854.56 ","3,384",HLNE
Janus Henderson Group plc,0.01%,Asset Managers and Custodians,JE,"$491,815.44 ","13,989",JHG
Altisource Asset Management Corp.,0.00%,Asset Managers and Custodians,VI,$602.58 ,5,AAMC
Arlington Asset Investment Corp.,0.00%,Asset Managers and Custodians,US,"$13,842.64 ","3,915",AAIC
Ashford Inc.,0.00%,Asset Managers and Custodians,US,"$5,030.13 ",357,AINC
AssetMark Financial Holdings Inc.,0.00%,Asset Managers and Custodians,US,"$90,793.55 ","2,184",AMK
Associated Capital Group Inc.,0.00%,Asset Managers and Custodians,US,"$8,432.91 ",167,AC
Avantax Inc.,0.00%,Asset Managers and Custodians,US,"$135,942.28 ","3,955",AVTA
Brightsphere Investment Group Inc.,0.00%,Asset Managers and Custodians,US,"$102,366.21 ","3,346",BSIG
Cohen & Steers Inc.,0.00%,Asset Managers and Custodians,US,"$210,660.08 ","2,589",CNS
Diamond Hill Investment Group Inc.,0.00%,Asset Managers and Custodians,US,"$65,521.22 ",298,DHIL
GCM Grosvenor Inc.,0.00%,Asset Managers and Custodians,US,"$53,559.02 ","4,899",GCMG
Greenhill & Co. Inc.,0.00%,Asset Managers and Custodians,US,"$11,402.82 ","1,185",GHL
Hennessy Advisors Inc.,0.00%,Asset Managers and Custodians,US,"$6,442.80 ",632,HNNA
Heritage Global Inc.,0.00%,Asset Managers and Custodians,US,"$18,296.92 ","4,673",HGBL
Oppenheimer Holdings Inc.,0.00%,Asset Managers and Custodians,US,"$27,448.42 ",542,OPY
P10 Inc.,0.00%,Asset Managers and Custodians,US,"$64,073.10 ","4,578",PX
Perella Weinberg Partners,0.00%,Asset Managers and Custodians,US,"$46,637.52 ","4,357",PWP
PJT Partners Inc.,0.00%,Asset Managers and Custodians,US,"$218,076.40 ","2,341",PJT
Sculptor Capital Management Inc.,0.00%,Asset Managers and Custodians,US,"$17,790.03 ","1,576",SCU
Silvercrest Asset Management Group Inc.,0.00%,Asset Managers and Custodians,US,"$24,698.37 ",973,SAMG
StepStone Group Inc.,0.00%,Asset Managers and Custodians,US,"$170,134.01 ","5,700",STEP
TPG Inc.,0.00%,Asset Managers and Custodians,US,"$250,623.27 ","6,385",TPG
US Global Investors Inc.,0.00%,Asset Managers and Custodians,US,"$4,731.14 ","1,284",UGL.BE
Victory Capital Holdings Inc.,0.00%,Asset Managers and Custodians,US,"$120,823.15 ","2,920",VCTR
Virtus Investment Partners Inc.,0.00%,Asset Managers and Custodians,US,"$179,084.73 ",725,VRTS
Westwood Holdings Group Inc.,0.00%,Asset Managers and Custodians,US,"$15,715.94 ",945,WHG
WisdomTree Inc.,0.00%,Asset Managers and Custodians,US,"$108,057.72 ","12,781",WT
Aptiv plc,0.07%,Auto Parts,JE,"$4,000,949.15 ","28,709",APTV
Genuine Parts Co.,0.06%,Auto Parts,US,"$3,396,782.15 ","14,896",GPC
LKQ Corp.,0.04%,Auto Parts,US,"$2,210,233.60 ","28,258",LKQ
BorgWarner Inc.,0.03%,Auto Parts,US,"$1,617,991.94 ","24,812",BWA
Gentex Corp.,0.02%,Auto Parts,US,"$925,135.25 ","24,749",GNTX
Lear Corp.,0.02%,Auto Parts,US,"$1,084,479.88 ","6,270",LEA
Dorman Products Inc.,0.01%,Auto Parts,US,"$330,134.79 ","2,828",DORM
Visteon Corp.,0.01%,Auto Parts,US,"$566,063.44 ","2,976",VC
American Axle & Manufacturing Holdings Inc.,0.00%,Auto Parts,US,"$110,233.23 ","11,379",AXL
CarParts.com Inc.,0.00%,Auto Parts,US,"$34,949.75 ","5,442",PRTS
Cooper-Standard Holdings Inc.,0.00%,Auto Parts,US,"$29,357.74 ","1,611",CPS
Dana Inc.,0.00%,Auto Parts,US,"$277,307.86 ","13,839",DAN
Envirotech Vehicles Inc.,0.00%,Auto Parts,US,"$3,390.31 ","1,069",EVTV
Gentherm Inc.,0.00%,Auto Parts,US,"$286,155.05 ","3,541",THRM
Holley Inc.,0.00%,Auto Parts,US,"$19,511.86 ","5,976",HLLY
Luminar Technologies Inc.,0.00%,Auto Parts,US,"$194,071.54 ","23,794",LAZR
Motorcar Parts of America Inc.,0.00%,Auto Parts,US,"$12,056.76 ","1,827",MPAA
QuantumScape Corp.,0.00%,Auto Parts,US,"$231,870.04 ","24,449",QS
SES AI Corp.,0.00%,Auto Parts,US,"$27,614.23 ","12,504",SES
Spruce Power Holding Corp.,0.00%,Auto Parts,US,"$9,874.91 ","10,391",SPRU
Standard Motor Products Inc.,0.00%,Auto Parts,US,"$90,273.96 ","1,850",SMP
Stoneridge Inc.,0.00%,Auto Parts,US,"$65,524.83 ","2,568",SRI
Strattec Security Corp.,0.00%,Auto Parts,US,"$13,000.56 ",495,STRT
Superior Industries International Inc.,0.00%,Auto Parts,US,"$20,033.24 ","3,011",SUP
XPEL Inc.,0.00%,Auto Parts,US,"$219,212.04 ","2,215",XPEL
Blink Charging Co.,0.00%,Auto Services,US,"$50,788.75 ","5,258",BLNK
Driven Brands Holdings Inc.,0.00%,Auto Services,US,"$255,488.91 ","6,142",DRVN
Monro Inc.,0.00%,Auto Services,US,"$220,856.43 ","3,335",MNRO
Tesla Inc.,1.08%,Automobiles,US,"$63,413,573.88 ","284,857",TSLA
Ford Motor Co.,0.11%,Automobiles,US,"$6,676,820.15 ","414,822",F
General Motors Co.,0.11%,Automobiles,US,"$6,273,586.68 ","140,147",GM
Rivian Automotive Inc.,0.02%,Automobiles,US,"$1,262,451.18 ","72,683",RIVN
Lucid Group Inc.,0.01%,Automobiles,US,"$728,953.29 ","67,762",LCID
Arcimoto Inc.,0.00%,Automobiles,US,$378.66 ,185,FUV
AYRO Inc.,0.00%,Automobiles,US,"$1,688.00 ","2,297",AYRO
Canoo Inc.,0.00%,Automobiles,US,"$45,981.37 ","44,951",GOEV
Faraday Future Intelligent Electric Inc.,0.00%,Automobiles,US,"$11,685.18 ","50,585",FFIE
Fisker Inc.,0.00%,Automobiles,US,"$149,923.14 ","17,183",FSR
Lordstown Motors Corp.,0.00%,Automobiles,US,"$11,783.45 ","16,630",RIDE
Mullen Automotive Inc.,0.00%,Automobiles,US,"$18,953.93 ","181,921",MULN
JPMorgan Chase & Co.,0.99%,Banks,US,"$58,385,243.08 ","311,730",JPM
Bank of America Corp.,0.49%,Banks,US,"$28,581,888.38 ","720,491",BAC
Wells Fargo & Co.,0.37%,Banks,US,"$21,639,339.50 ","401,805",WFC
Citigroup Inc.,0.21%,Banks,US,"$12,424,844.23 ","194,830",C
PNC Financial Services Group Inc.,0.13%,Banks,US,"$7,467,838.60 ","42,318",PNC
US Bancorp,0.13%,Banks,US,"$7,528,439.51 ","162,096",USB.BA
Truist Financial Corp.,0.11%,Banks,US,"$6,202,115.79 ","140,507",TFC
Discover Financial Services,0.07%,Banks,US,"$3,886,395.31 ","27,723",DFS
M&T Bank Corp.,0.05%,Banks,US,"$3,029,764.46 ","17,776",MTB
Citizens Financial Group Inc.,0.04%,Banks,US,"$2,142,835.45 ","51,118",CFG
Fifth Third Bancorp,0.04%,Banks,US,"$2,566,411.16 ","72,299",FITB
Regions Financial Corp.,0.04%,Banks,US,"$2,449,463.26 ","99,010",RF
KeyCorp,0.03%,Banks,US,"$1,503,146.03 ","98,531",KEY
Cullen/Frost Bankers Inc.,0.02%,Banks,US,"$915,146.77 ","6,127",CFR
East West Bancorp Inc.,0.02%,Banks,US,"$1,044,332.85 ","14,912",EWBC
First Horizon Corp.,0.02%,Banks,US,"$1,352,363.50 ","56,875",FHN
New York Community Bancorp Inc.,0.02%,Banks,US,"$990,434.94 ","68,384",NYCB
Webster Financial Corp.,0.02%,Banks,US,"$930,387.35 ","18,410",WBS
Ameris Bancorp,0.01%,Banks,US,"$320,521.98 ","7,062",ABCB
Associated Banc-Corp,0.01%,Banks,US,"$364,560.00 ","15,091",ASB
Atlantic Union Bankshares Corp.,0.01%,Banks,US,"$305,986.14 ","7,891",AUB
Axos Financial Inc.,0.01%,Banks,US,"$331,252.06 ","6,012",AX
Bank OZK,0.01%,Banks,US,"$568,724.24 ","11,752",OZK
Cadence Bank,0.01%,Banks,US,"$528,390.63 ","19,288",CADE
Cathay General Bancorp,0.01%,Banks,US,"$317,009.42 ","7,342",CATY
Columbia Banking System Inc.,0.01%,Banks,US,"$636,001.75 ","21,977",COLB
Comerica Inc.,0.01%,Banks,US,"$816,326.81 ","13,893",CMA
Community Bank System Inc.,0.01%,Banks,US,"$385,389.55 ","5,694",CBU
First Financial Bankshares Inc.,0.01%,Banks,US,"$567,342.26 ","14,311",FFIN
First Hawaiian Inc.,0.01%,Banks,US,"$344,778.17 ","13,316",FHB
First Interstate BancSystem Inc.,0.01%,Banks,US,"$309,157.05 ","8,917",FIBK
Glacier Bancorp Inc.,0.01%,Banks,US,"$525,135.50 ","11,664",GBCI
Hancock Whitney Corp.,0.01%,Banks,US,"$422,146.21 ","8,532",HWC
Independent Bank Corp.,0.01%,Banks,US,"$348,969.59 ","4,599",INDB
